Species,longitude,latitude
GreatHornbill,73.940134,15.37615
GreatHornbill,79.053841,29.481926
GreatHornbill,79.075298,29.440345
GreatHornbill,76.926329,10.37204
GreatHornbill,92.812097,27.087146
GreatHornbill,76.933204,10.357589
GreatHornbill,76.690064,10.522919
GreatHornbill,79.075298,29.440345
GreatHornbill,76.926329,10.37204
GreatHornbill,79.075298,29.440345
GreatHornbill,79.250758,29.315254
GreatHornbill,76.926111,10.371641
GreatHornbill,76.92627,10.371668
GreatHornbill,76.93471,10.357433
GreatHornbill,90.963535,26.299725
GreatHornbill,79.189597,29.364858
GreatHornbill,88.307869,26.869636
GreatHornbill,76.933204,10.357589
GreatHornbill,76.690064,10.522919
GreatHornbill,76.92627,10.371668
GreatHornbill,79.234922,29.361381
GreatHornbill,73.962107,15.351139
GreatHornbill,76.93471,10.357433
GreatHornbill,76.933204,10.357589
GreatHornbill,76.46199,10.439633
GreatHornbill,92.913287,26.989907
GreatHornbill,92.853699,26.950963
GreatHornbill,76.860666,11.415647
GreatHornbill,77.082481,9.439828
GreatHornbill,78.862036,29.586357
GreatHornbill,73.644214,17.721313
GreatHornbill,77.15403,9.44613
GreatHornbill,77.113681,9.529683
GreatHornbill,96.300603,27.504245
GreatHornbill,77.180688,9.578894
GreatHornbill,79.14484,29.451387
GreatHornbill,92.812097,27.087146
GreatHornbill,92.913287,26.989907
GreatHornbill,77.15403,9.44613
GreatHornbill,73.962107,15.351139
GreatHornbill,74.185181,15.525062
GreatHornbill,79.15349,29.471299
GreatHornbill,79.145285,29.451471
GreatHornbill,79.053841,29.481926
GreatHornbill,77.180203,9.587585
GreatHornbill,74.273479,15.082114
GreatHornbill,92.913287,26.989907
GreatHornbill,92.812097,27.087146
GreatHornbill,74.115174,15.201498
GreatHornbill,92.913287,26.989907
GreatHornbill,78.862036,29.586357
GreatHornbill,76.92796,10.26055
GreatHornbill,76.92796,10.26055
GreatHornbill,76.984828,10.289722
GreatHornbill,92.812097,27.087146
GreatHornbill,73.998541,15.567741
GreatHornbill,92.812097,27.087146
GreatHornbill,76.966943,10.26924
GreatHornbill,76.071932,11.947094
GreatHornbill,78.905804,29.458648
GreatHornbill,92.913287,26.989907
GreatHornbill,93.266338,26.615357
